#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-09-24T06:13:20 [V7.5.2]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-09-24T06:13:20	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/PAZh/36/16/stars&-order=I&-out=Cluster&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=e_Vmag&-out=B-V&-out=e_B-V&-out=V-Rc&-out=e_V-Rc&-out=V-Ic&-out=e_V-Ic&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.2	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_90360016
#Name: J/PAZh/36/16
#Title: Photometry in 6 galactic open star clusters (Glushkova+, 2010)
#INFO	ivoid=ivo://cds.vizier/j/pazh/36/16	    IVOID of underlying data collection
#INFO	creator=Glushkova E.V.	    First author or institution
#INFO	cites=bibcode:2010PAZh...36...16G	    Article or Data origin sources
#INFO	editor=Pis'ma v Astronomicheskii Zhurnal	    Editor name (article)
#INFO	original_date=2010	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/PAZh/36/16	    Dataset landing page
#INFO	publication_date=2017-07-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_PAZh_36_16_stars:
#Name: J/PAZh/36/16/stars
#Title: Combined table from original tables
#Column	Cluster	(a7)	Cluster name	[ucd=meta.id.parent]
#Column	RAJ2000	(F10.6)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F6.3)	Error on V	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F6.3)	? Error on B-V (1)	[ucd=stat.error;phot.color;em.opt.B]
#Column	V-Rc	(F6.3)	? Johnson-Cousins color index V-Rc (1)	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-Rc	(F6.3)	? Error on V-Rc (1)	[ucd=stat.error;phot.color;em.opt.V]
#Column	V-Ic	(F6.3)	? Johnson-Cousins color index V-Ic (1)	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-Ic	(F6.3)	? Error on V-Ic (1)	[ucd=stat.error;phot.color;em.opt.V]
Cluster;RAJ2000;DEJ2000;Vmag;e_Vmag;B-V;e_B-V;V-Rc;e_V-Rc;V-Ic;e_V-Ic
# ;deg;deg;mag;mag;mag;mag;mag;mag;mag;mag
#-------;----------;----------;------;------;------;------;------;------;------;------
NGC7245;333.746292;+54.285386;17.303; 0.015; 0.794; 0.016; 0.547; 0.011; 1.015; 0.009
NGC7245;333.690948;+54.314635;17.861; 0.007; 0.860; 0.015; 0.556; 0.008; 1.031; 0.012
NGC7245;333.761863;+54.284939;18.959; 0.013; 0.868; 0.066; 0.630; 0.032; 1.183; 0.022
NGC7245;333.734131;+54.305224;18.452; 0.050; 0.846; 0.021; 0.538; 0.028; 1.032; 0.016
NGC7245;333.784750;+54.282020;18.386; 0.011; 1.021; 0.025; 0.642; 0.010; 1.176; 0.015
NGC7245;333.725538;+54.314326;18.084; 0.018; 1.076; 0.019; 0.687; 0.010; 1.253; 0.014
NGC7245;333.782541;+54.289088;19.518; 0.019; 1.079; 0.050; 0.650; 0.019; 1.248; 0.031
NGC7245;333.715560;+54.321417;16.707; 0.015; 0.881; 0.009; 0.557; 0.014; 1.025; 0.007
NGC7245;333.755904;+54.303984;18.253; 0.017; 1.269; 0.023; 0.771; 0.011; 1.444; 0.015
NGC7245;333.813590;+54.277726;13.730; 0.004; 0.712; 0.006; 0.468; 0.007; 0.863; 0.004
NGC7245;333.772918;+54.302269;14.767; 0.015; 0.427; 0.005; 0.301; 0.010; 0.580; 0.004
NGC7245;333.744068;+54.321852;18.266; 0.028; 1.057; 0.019; 0.653; 0.016; 1.211; 0.014
NGC7245;333.750283;+54.319818;13.405; 0.016; 0.910; 0.010; 0.620; 0.010; 1.204; 0.006
NGC7245;333.806917;+54.298499;13.254; 0.010; 0.787; 0.006; 0.518; 0.009; 0.940; 0.005
NGC7245;333.843724;+54.287542;14.864; 0.007; 0.578; 0.005; 0.375; 0.005; 0.702; 0.005
NGC7245;333.771786;+54.322647;18.890; 0.049; 0.854; 0.027; 0.562; 0.025; 1.072; 0.020
NGC7245;333.759820;+54.336546;18.737; 0.011; 0.849; 0.024; 0.579; 0.011; 1.097; 0.019
NGC7245;333.742977;+54.345571;14.837; 0.004; 0.670; 0.007; 0.438; 0.005; 0.804; 0.004
NGC7245;333.745028;+54.345393;13.953; 0.003; 0.368; 0.005; 0.259; 0.006; 0.495; 0.004
NGC7245;333.791348;+54.325384;18.162; 0.017; 0.933; 0.053; 0.635; 0.009; 1.178; 0.012
NGC7245;333.786929;+54.328810;19.307; 0.056; 1.072; 0.039; 0.693; 0.047; 1.305; 0.025
NGC7245;333.807618;+54.321329;14.072; 0.004; 0.376; 0.018; 0.284; 0.004; 0.555; 0.004
NGC7245;333.844450;+54.308462;14.542; 0.004; 0.444; 0.014; 0.283; 0.009; 0.581; 0.005
NGC7245;333.824446;+54.318184;18.610; 0.012; 1.145; 0.026; 0.681; 0.019; 1.241; 0.018
NGC7245;333.837889;+54.312816;18.456; 0.010; 1.045; 0.022; 0.657; 0.011; 1.262; 0.015
NGC7245;333.817944;+54.334698;13.878; 0.003; 0.371; 0.012; 0.259; 0.003; 0.484; 0.004
NGC7245;333.815036;+54.337535;15.426; 0.004; 0.472; 0.016; 0.306; 0.009; 0.597; 0.005
NGC7245;333.878841;+54.308043;15.750; 0.007; 0.628; 0.022; 0.425; 0.006; 0.811; 0.006
NGC7245;333.811288;+54.340932;15.340; 0.004; 0.561; 0.010; 0.357; 0.004; 0.691; 0.005
NGC7245;333.780720;+54.356004;15.369; 0.012; 0.864; 0.017; 0.530; 0.006; 0.974; 0.006
NGC7245;333.797364;+54.350289;15.303; 0.012; 0.456; 0.011; 0.285; 0.005; 0.549; 0.005
NGC7245;333.845880;+54.327853;13.912; 0.004; 0.415; 0.023; 0.285; 0.004; 0.535; 0.004
NGC7245;333.805289;+54.348106;19.326; 0.016; 0.860; 0.036; 0.594; 0.027; 1.107; 0.029
NGC7245;333.799857;+54.353131;13.388; 0.010; 1.286; 0.010; 0.724; 0.011; 1.341; 0.008
NGC7245;333.877627;+54.317311;15.473; 0.004; 0.482; 0.010; 0.300; 0.005; 0.560; 0.005
NGC7245;333.814287;+54.349124;15.118; 0.004; 0.432; 0.015; 0.271; 0.005; 0.513; 0.005
NGC7245;333.849451;+54.343165;18.710; 0.014; 0.936; 0.051; 0.613; 0.019; 1.171; 0.025
NGC7245;333.845787;+54.348602;18.045; 0.013; 1.230; 0.019; 0.754; 0.013; 1.309; 0.012
NGC7245;333.878731;+54.335092;18.422; 0.009; 0.943; 0.021; 0.620; 0.010; 1.163; 0.015
NGC7245;333.836889;+54.355914;13.993; 0.007; 0.404; 0.005; 0.280; 0.007; 0.516; 0.004
NGC7245;333.814759;+54.371474;17.351; 0.006; 0.819; 0.011; 0.548; 0.008; 0.980; 0.009
NGC7245;333.859965;+54.357124;19.305; 0.017; 1.082; 0.043; 0.711; 0.016; 1.277; 0.027
NGC7245;333.859334;+54.361494;19.164; 0.039; 1.206; 0.041; 0.887; 0.036; 1.535; 0.022
NGC7245;333.683594;+54.308529;18.533; 0.027; 0.756; 0.022;      ;      ;      ;
NGC7245;333.678508;+54.311074;17.194; 0.006; 0.926; 0.039; 0.572; 0.007;      ;
NGC7245;333.748631;+54.277898;19.252; 0.046; 0.900; 0.038; 0.628; 0.027;      ;
NGC7245;333.670678;+54.314967;17.297; 0.006; 0.831; 0.040; 0.538; 0.007;      ;
NGC7245;333.707762;+54.297511;17.953; 0.008; 0.908; 0.032; 0.567; 0.008; 1.071; 0.013
NGC7245;333.778024;+54.264554;18.028; 0.008; 0.670; 0.026; 0.471; 0.011; 0.898; 0.014
NGC7245;333.781878;+54.262948;18.596; 0.025; 1.149; 0.038; 0.716; 0.014; 1.273; 0.017
NGC7245;333.702604;+54.300716;18.198; 0.021; 0.990; 0.027; 0.630; 0.022; 1.184; 0.014
NGC7245;333.685212;+54.309400;18.874; 0.012; 0.891; 0.070; 0.614; 0.012; 1.143; 0.021
NGC7245;333.729273;+54.288890;18.748; 0.012; 1.097; 0.029; 0.699; 0.013; 1.288; 0.019
NGC7245;333.705174;+54.300609;17.535; 0.007; 0.944; 0.013; 0.605; 0.008; 1.090; 0.010
NGC7245;333.735400;+54.286246;15.795; 0.010; 0.696; 0.007; 0.483; 0.006; 0.893; 0.006
NGC7245;333.670019;+54.318447;18.971; 0.013; 1.208; 0.044; 0.771; 0.020; 1.390; 0.022
NGC7245;333.773835;+54.268141;17.628; 0.007; 0.820; 0.013; 0.555; 0.011; 1.017; 0.010
NGC7245;333.707356;+54.299850;14.786; 0.012; 1.295; 0.009; 0.774; 0.008; 1.440; 0.007
NGC7245;333.681664;+54.312617;17.728; 0.019; 0.765; 0.052; 0.495; 0.026; 0.947; 0.011
NGC7245;333.674954;+54.316501;19.314; 0.036; 0.815; 0.041; 0.562; 0.035; 1.087; 0.033
NGC7245;333.738349;+54.286608;16.707; 0.018; 0.669; 0.008; 0.483; 0.010; 0.903; 0.007
NGC7245;333.725251;+54.293787;17.315; 0.015; 0.793; 0.021; 0.528; 0.008; 0.992; 0.011
NGC7245;333.713687;+54.299356;17.476; 0.010; 1.222; 0.015; 0.789; 0.009; 1.387; 0.010
NGC7245;333.700449;+54.306344;19.053; 0.014; 1.010; 0.033; 0.658; 0.018; 1.246; 0.024
NGC7245;333.775878;+54.271122;19.125; 0.016; 1.056; 0.040; 0.585; 0.017; 1.149; 0.031
NGC7245;333.709849;+54.302513;18.792; 0.013; 0.943; 0.068; 0.654; 0.012; 1.249; 0.020
NGC7245;333.779269;+54.270515;19.036; 0.013; 0.722; 0.061; 0.492; 0.013; 0.989; 0.026
NGC7245;333.701266;+54.307685;19.176; 0.016; 1.177; 0.039; 0.748; 0.016; 1.365; 0.024
NGC7245;333.786447;+54.267222;18.331; 0.026; 0.940; 0.048; 0.604; 0.019; 1.162; 0.015
NGC7245;333.723041;+54.297515;19.300; 0.016; 0.879; 0.040; 0.616; 0.016; 1.186; 0.029
NGC7245;333.704598;+54.306698;15.800; 0.006; 1.229; 0.010; 0.807; 0.008; 1.478; 0.010
NGC7245;333.781490;+54.270227;18.958; 0.023; 1.130; 0.034; 0.679; 0.014; 1.287; 0.023
NGC7245;333.732862;+54.293363;17.058; 0.020; 0.713; 0.009; 0.479; 0.013; 0.886; 0.008
NGC7245;333.791699;+54.266747;15.900; 0.004; 0.552; 0.006; 0.356; 0.005; 0.670; 0.006
NGC7245;333.729223;+54.296780;18.115; 0.024; 1.024; 0.018; 0.646; 0.017; 1.125; 0.013
NGC7245;333.779733;+54.272956;14.898; 0.004; 0.335; 0.009; 0.258; 0.011; 0.485; 0.005
NGC7245;333.779270;+54.274205;16.644; 0.009; 0.676; 0.014; 0.448; 0.015; 0.841; 0.007
NGC7245;333.724035;+54.299865;14.467; 0.009; 0.608; 0.005; 0.414; 0.005; 0.750; 0.004
NGC7245;333.753689;+54.286332;19.131; 0.031; 0.963; 0.054; 0.688; 0.015; 1.224; 0.025
NGC7245;333.736799;+54.294387;18.283; 0.022; 0.832; 0.032; 0.552; 0.028; 1.022; 0.016
NGC7245;333.691183;+54.316506;19.692; 0.055; 0.847; 0.054; 0.544; 0.054; 1.050; 0.043
NGC7245;333.721279;+54.302333;18.933; 0.013; 0.942; 0.028; 0.605; 0.013; 1.135; 0.023
NGC7245;333.765711;+54.281623;16.018; 0.013; 0.698; 0.007; 0.501; 0.007; 0.939; 0.006
NGC7245;333.702184;+54.312305;18.954; 0.030; 1.259; 0.039; 0.829; 0.013; 1.454; 0.021
NGC7245;333.754136;+54.287702;16.132; 0.016; 0.617; 0.007; 0.437; 0.009; 0.823; 0.006
NGC7245;333.713527;+54.307156;18.728; 0.011; 0.888; 0.025; 0.580; 0.015; 1.081; 0.019
NGC7245;333.784962;+54.273280;17.578; 0.007; 0.843; 0.019; 0.546; 0.008; 1.015; 0.010
NGC7245;333.784730;+54.274220;17.931; 0.013; 0.966; 0.016; 0.637; 0.018; 1.173; 0.012
NGC7245;333.696426;+54.315410;18.861; 0.012; 0.794; 0.027; 0.515; 0.012; 1.001; 0.024
NGC7245;333.750991;+54.289650;15.226; 0.008; 1.061; 0.010; 0.672; 0.007; 1.189; 0.006
NGC7245;333.737924;+54.296218;16.682; 0.017; 0.761; 0.013; 0.532; 0.018; 0.987; 0.006
NGC7245;333.722456;+54.303584;18.260; 0.025; 1.208; 0.033; 0.793; 0.020; 1.415; 0.014
NGC7245;333.692089;+54.318036;19.191; 0.020; 1.005; 0.050; 0.623; 0.026;      ;
NGC7245;333.695513;+54.316589;17.931; 0.016; 1.017; 0.028; 0.622; 0.012; 1.150; 0.012
NGC7245;333.799237;+54.267333;17.934; 0.008; 0.880; 0.015; 0.551; 0.008; 1.034; 0.012
NGC7245;333.799415;+54.268193;18.085; 0.014; 1.170; 0.021; 0.719; 0.011; 1.358; 0.016
NGC7245;333.727621;+54.301518;18.666; 0.023; 1.420; 0.033; 0.950; 0.013; 1.675; 0.018
NGC7245;333.793558;+54.270868;19.104; 0.046; 1.013; 0.034; 0.664; 0.041; 1.206; 0.025
NGC7245;333.780842;+54.277087;14.631; 0.007; 1.308; 0.009; 0.782; 0.008; 1.437; 0.007
NGC7245;333.765554;+54.284393;18.832; 0.040; 0.761; 0.041; 0.530; 0.025; 0.957; 0.021
NGC7245;333.774815;+54.280041;14.530; 0.012; 1.624; 0.011; 0.966; 0.009; 1.768; 0.009
NGC7245;333.709597;+54.311042;15.882; 0.010; 0.768; 0.009; 0.498; 0.012; 0.915; 0.008
NGC7245;333.735637;+54.299006;19.470; 0.040; 0.993; 0.045; 0.654; 0.048; 1.216; 0.032
NGC7245;333.783213;+54.276669;14.720; 0.006; 0.882; 0.007; 0.561; 0.007; 1.004; 0.005
NGC7245;333.741193;+54.296731;18.293; 0.031; 0.963; 0.020; 0.618; 0.025; 1.157; 0.014
NGC7245;333.732251;+54.301383;13.768; 0.011; 1.935; 0.013; 1.149; 0.016; 2.163; 0.013
NGC7245;333.722880;+54.305864;18.005; 0.012; 0.859; 0.020; 0.554; 0.009; 1.029; 0.014
NGC7245;333.701834;+54.315975;18.085; 0.015; 0.897; 0.017; 0.580; 0.009; 1.107; 0.013
NGC7245;333.801754;+54.268545;19.207; 0.028; 1.123; 0.040; 0.678; 0.024; 1.314; 0.026
NGC7245;333.696938;+54.318441;17.357; 0.008; 0.841; 0.021; 0.567; 0.010; 1.033; 0.009
NGC7245;333.760534;+54.288268;18.192; 0.021; 0.853; 0.017; 0.572; 0.016; 1.024; 0.014
NGC7245;333.684853;+54.324370;19.019; 0.013; 0.925; 0.029; 0.596; 0.014; 1.089; 0.024
NGC7245;333.768753;+54.284686;17.723; 0.011; 0.682; 0.012; 0.474; 0.009; 0.893; 0.011
NGC7245;333.739297;+54.298969;18.810; 0.037; 0.995; 0.027; 0.635; 0.023; 1.122; 0.020
NGC7245;333.731748;+54.302772;18.568; 0.017; 1.060; 0.042;      ;      ;      ;
NGC7245;333.757116;+54.291565;18.634; 0.011; 1.151; 0.026; 0.736; 0.011; 1.358; 0.017
NGC7245;333.746042;+54.296905;17.006; 0.015; 0.685; 0.009; 0.468; 0.013; 0.876; 0.009
NGC7245;333.796993;+54.272681;18.823; 0.022; 1.003; 0.028; 0.623; 0.020; 1.191; 0.019
NGC7245;333.789213;+54.276664;14.689; 0.009; 0.324; 0.004; 0.242; 0.010; 0.454; 0.005
NGC7245;333.774304;+54.284101;16.349; 0.006; 0.604; 0.009; 0.415; 0.007; 0.774; 0.006
NGC7245;333.705210;+54.317538;18.879; 0.012; 1.103; 0.031; 0.646; 0.013; 1.225; 0.021
NGC7245;333.763559;+54.290051;18.343; 0.018; 0.921; 0.038; 0.592; 0.012; 1.101; 0.016
NGC7245;333.775982;+54.285062;17.163; 0.012; 0.733; 0.010; 0.517; 0.008; 0.974; 0.008
NGC7245;333.750942;+54.297069;18.287; 0.010; 0.983; 0.020; 0.637; 0.011; 1.185; 0.014
NGC7245;333.796734;+54.276411;14.511; 0.006; 0.348; 0.004; 0.247; 0.009; 0.475; 0.005
NGC7245;333.800596;+54.275454;18.224; 0.008; 0.849; 0.019; 0.552; 0.009; 1.067; 0.016
NGC7245;333.742258;+54.302531;18.716; 0.035; 1.298; 0.030; 0.807; 0.032; 1.436; 0.018
NGC7245;333.729041;+54.309199;17.401; 0.014; 0.806; 0.012; 0.504; 0.010; 0.950; 0.010
NGC7245;333.730290;+54.309541;17.012; 0.024; 0.802; 0.023; 0.522; 0.019; 0.978; 0.007
NGC7245;333.811818;+54.270634;18.215; 0.008; 0.829; 0.017; 0.536; 0.009; 1.017; 0.014
NGC7245;333.734856;+54.307405;18.714; 0.011; 0.878; 0.025; 0.580; 0.011; 1.123; 0.019
NGC7245;333.791642;+54.280856;18.298; 0.017; 0.840; 0.019; 0.578; 0.010; 1.080; 0.014
NGC7245;333.704367;+54.322597;19.108; 0.018; 0.975; 0.068; 0.617; 0.015; 1.124; 0.025
NGC7245;333.768434;+54.292325;19.651; 0.024; 1.131; 0.055; 0.737; 0.022; 1.327; 0.035
NGC7245;333.766851;+54.293164;17.116; 0.015; 0.802; 0.017; 0.546; 0.011; 1.014; 0.008
NGC7245;333.794674;+54.280189;18.302; 0.009; 0.958; 0.019; 0.620; 0.009; 1.140; 0.014
NGC7245;333.758129;+54.298016;17.497; 0.006; 0.670; 0.018; 0.449; 0.011; 0.897; 0.010
NGC7245;333.720614;+54.316012;17.352; 0.011; 0.863; 0.012; 0.559; 0.007; 1.036; 0.009
NGC7245;333.784800;+54.285740;15.236; 0.010; 1.131; 0.008; 0.694; 0.007; 1.281; 0.007
NGC7245;333.710389;+54.321992;19.432; 0.019; 0.951; 0.047; 0.553; 0.018; 1.139; 0.033
NGC7245;333.703569;+54.325706;15.256; 0.005; 1.329; 0.010; 0.765; 0.008; 1.412; 0.007
NGC7245;333.772290;+54.293478;17.677; 0.007; 0.830; 0.013; 0.541; 0.008; 1.035; 0.011
NGC7245;333.773258;+54.294359;16.639; 0.013; 0.655; 0.008; 0.433; 0.009; 0.823; 0.007
NGC7245;333.732873;+54.312363;19.142; 0.018; 0.903; 0.047; 0.560; 0.032; 1.143; 0.026
NGC7245;333.797758;+54.282421;17.593; 0.026; 0.712; 0.020; 0.476; 0.018; 0.893; 0.010
NGC7245;333.748579;+54.306007;19.458; 0.018; 0.993; 0.044; 0.699; 0.018; 1.372; 0.033
NGC7245;333.782097;+54.291027;15.722; 0.014; 1.366; 0.010; 0.809; 0.013; 1.504; 0.008
NGC7245;333.717790;+54.321639;16.420; 0.010; 0.692; 0.008; 0.457; 0.007; 0.858; 0.006
NGC7245;333.807906;+54.279241;18.263; 0.019; 0.657; 0.017; 0.448; 0.015; 0.875; 0.016
NGC7245;333.773935;+54.295510;19.098; 0.023; 0.914; 0.033; 0.578; 0.028; 1.120; 0.024
